time,data
728,0
729,3
730,0
731,0
732,1
733,0
734,0
735,0
736,1
737,1
738,4
739,2
740,1
741,7
742,0
743,1
744,0
745,0
746,3
747,0
748,2
749,1
750,2
751,1
752,0
753,1
754,0
755,1
756,0
757,0
758,0
759,0
760,0
761,1
762,0
763,3
764,1
765,1
766,3
767,2
768,1
769,0
770,4
771,0
772,0
773,0
774,0
775,0
776,0
777,5
778,0
779,1
780,0
781,0
782,1
783,0
784,0
785,0
786,2
787,1
788,0
789,7
790,4
791,0
792,0
793,1
794,2
795,6
796,3
797,0
798,0
799,1
800,4
801,1
802,2
803,2
804,0
805,0
806,1
807,3
808,0
809,0
810,0
811,0
812,2
813,0
814,0
815,2
816,4
817,0
818,0
819,0
820,0
821,0
822,0
823,0
824,0
825,4
826,2
827,4
828,0
829,0
830,0
831,0
832,0
833,0
834,2
835,1
836,1
837,2
838,0
839,0
840,2
841,3
842,0
843,1
844,0
845,0
846,0
847,0
848,3
849,3
850,0
851,2
852,4
853,0
854,1
855,2
856,0
857,3
858,0
859,1
860,1
861,1
862,5
863,3
864,0
865,0
866,1
867,0
868,5
869,1
870,0
871,0
872,0
873,6
874,1
875,0
876,0
877,1
878,1
879,1
880,0
881,1
882,1
883,0
884,1
885,0
886,0
887,1
888,0
889,0
890,0
891,5
892,0
893,4
894,1
895,0
896,3
897,1
898,0
899,3
900,0
901,2
902,3
903,0
904,0
905,2
906,1
907,1
908,4
909,1
910,2
911,4
912,0
913,1
914,1
915,6
916,1
917,0
918,0
919,0
920,1
921,1
922,4
923,0
924,0
925,0
926,0
927,2
928,1
929,0
930,0
931,0
932,0
933,2
934,1
935,1
936,0
937,0
938,0
939,0
940,1
941,0
942,4
943,0
944,0
945,0
946,0
947,0
948,3
949,0
950,0
951,1
952,1
953,2
954,0
955,1
956,1
957,0
958,0
959,1
960,1
961,1
962,1
963,5
964,3
965,0
966,0
967,1
968,1
969,1
970,0
971,3
972,0
973,0
974,2
975,1
976,3
977,1
978,0
979,1
980,0
981,0
982,0
983,0
984,1
985,2
986,3
987,0
988,2
989,0
990,0
991,1
992,3
993,0
994,3
995,0
996,1
997,2
998,0
999,2
1000,0
